Αἰξωνέα	*ai)cwne/a	Αἰξωνεύς	*ai)cwneu/s	n-s---ma-
Φρυνίχειον	*fruni/xeion	Φρυνίχειος	*fruni/xeios	a-s---na-
Φρυνίχειον	*fruni/xeion	φρυνίχειος	fruni/xeios	a-s---ma-
Φρυνίχειον	*fruni/xeion	φρυνίχειος	fruni/xeios	a-s---nn-
Φρυνίχειον	*fruni/xeion	φρυνίχειος	fruni/xeios	a-s---nv-
Φρυνίχειον	*fruni/xeion	φρυνίχειος	fruni/xeios	a-s---na-
Φρυνίχου	*fruni/xou	Φρύνιχος	*fru/nixos	n-s---mg-
Φρύνιχον	*fru/nixon	Φρύνιχος	*fru/nixos	n-s---ma-
Φρύνιχος	*fru/nixos	Φρύνιχος	*fru/nixos	n-s---mn-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---mn-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---mv-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---fn-
Φρύξ	*fru/c	Φρύξ	*fru/c	n-s---fv-
Φάρσαλον	*fa/rsalon	Φάρσαλος	*fa/rsalos	n-s---ma-
Φάυλλον	*fa/ullon	Φάϋλλος	*fa/u+llos	n-s---ma-
Φίλιππον	*fi/lippon	Φίλιππος	*fi/lippos	n-s---ma-
Φίλιππον	*fi/lippon	φίλιππος	fi/lippos	n-s---ma-
Φίλιππον	*fi/lippon	φίλιππος	fi/lippos	n-s---fa-
Φίλιππον	*fi/lippon	φίλιππος	fi/lippos	n-s---nn-
Φίλιππον	*fi/lippon	φίλιππος	fi/lippos	n-s---nv-
Φίλιππον	*fi/lippon	φίλιππος	fi/lippos	n-s---na-
Φᾶνος	*fa=nos	Φᾶνος	*fa=nos	n-s---mn-
Χαιρεφῶν	*xairefw=n	Χαιρεφῶν	*xairefw=n	n-s---mn-
Χαιρεφῶντα	*xairefw=nta	Χαιρεφῶν	*xairefw=n	n-s---ma-
Χαιρέου	*xaire/ou	Χαιρέας	*xaire/as	n-s---mg-
Χαρινάδης	*xarina/dhs	Χαρινάδης	*xarina/dhs	n-s---mn-
Χρυσέ	*xruse/	Χρυσός	*xruso/s	n-s---mv-
Χρυσέ	*xruse/	χρυσός	xruso/s	n-s---mv-
Χρήμων	*xrh/mwn	Χρήμων	*xrh/mwn	n-s---mn-
Χρήμων	*xrh/mwn	Χρήμων	*xrh/mwn	n-s---mv-
Χάβης	*xa/bhs	Χάβης	*xa/bhs	n-s---mn-
αἰβοῖ	ai)boi=	αἰβοῖ	ai)boi=	x--------
αἰγιαλόν	ai)gialo/n	αἰγιαλός	ai)gialo/s	n-s---ma-
αἰδοῖα	ai)doi=a	αἰδοῖον	ai)doi=on	n-p---nn-
αἰδοῖα	ai)doi=a	αἰδοῖον	ai)doi=on	n-p---nv-
αἰδοῖα	ai)doi=a	αἰδοῖον	ai)doi=on	n-p---na-
αἰδοῖα	ai)doi=a	αἰδοῖος	ai)doi=os	a-p---nn-
αἰδοῖα	ai)doi=a	αἰδοῖος	ai)doi=os	a-p---nv-
αἰδοῖα	ai)doi=a	αἰδοῖος	ai)doi=os	a-p---na-
αἰδώς	ai)dw/s	αἰδώς	ai)dw/s	n-s---fn-
αἰετόν	ai)eto/n	ἀετός	a)eto/s	n-s---ma-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dapmmn-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dapmmv-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dapmma-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dapmnn-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dapmnv-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dapmna-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-sapmmg-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-sapmng-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dppemn-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dppemv-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dppema-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dppenn-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dppenv-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-dppena-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-sppemg-
αἰσθομένω	ai)sqome/nw	αἰσθάνομαι	ai)sqa/nomai	v-sppeng-
αἰσθήσεται	ai)sqh/setai	αἰσθάνομαι	ai)sqa/nomai	v3sfim---
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---na-
αἰτεῖς	ai)tei=s	αἰτέω	ai)te/w	v2spia---
αἰτεῖτε	ai)tei=te	αἰτέω	ai)te/w	v2ppma---
αἰτεῖτε	ai)tei=te	αἰτέω	ai)te/w	v2ppoa---
αἰτεῖτε	ai)tei=te	αἰτέω	ai)te/w	v2ppia---
αἰτεῖτε	ai)tei=te	αἰτέω	ai)te/w	v2piia---
αἰτιώτατοι	ai)tiw/tatoi	αἴτιος	ai)/tios	a-p---mns
αἰτιώτατοι	ai)tiw/tatoi	αἴτιος	ai)/tios	a-p---mvs
αἰτιώτατοι	ai)tiw/tatoi	αἴτιος	ai)/tios	a-p---mns
αἰτιώτατοι	ai)tiw/tatoi	αἴτιος	ai)/tios	a-p---mvs
αἰτοῦμαί	ai)tou=mai/	αἰτέω	ai)te/w	v1spie---
αἰτοῦντί	ai)tou=nti/	αἰτέω	ai)te/w	v-sppamd-
αἰτοῦντί	ai)tou=nti/	αἰτέω	ai)te/w	v-sppand-
αἰτοῦντί	ai)tou=nti/	αἰτέω	ai)te/w	v3ppia---
αἰτίαν	ai)ti/an	αἴτιος	ai)/tios	a-s---fa-
αἰτίαν	ai)ti/an	αἰτία	ai)ti/a	n-s---fa-
αἱρεῖ	ai(rei=	αἱρέω	ai(re/w	v2spie---
αἱρεῖ	ai(rei=	αἱρέω	ai(re/w	v3spia---
αἴσχιστα	ai)/sxista	αἰσχρός	ai)sxro/s	a-p---nn-
αἴσχιστα	ai)/sxista	αἰσχρός	ai)sxro/s	a-p---nv-
αἴσχιστα	ai)/sxista	αἰσχρός	ai)sxro/s	a-p---na-
αἵ	ai(/	ὁ	o(	l-p---fn-
αἵ	ai(/	ὁ	o(	l-p---fv-
αἵ	ai(/	ὅς	o(/s	p-p---fn-
αἵδ’	ai(/d'	ὅδε	o(/de	n-p---fn-
αἷσιν	ai(=sin	ὅς	o(/s	p-p---fd-
αὐλείοισι	au)lei/oisi	αὔλειος	au)/leios	a-p---md-
αὐλείοισι	au)lei/oisi	αὔλειος	au)/leios	a-p---nd-
αὐλείοισι	au)lei/oisi	αὔλειος	au)/leios	n-p---md-
αὐλείοισι	au)lei/oisi	αὔλειος	au)/leios	n-p---fd-
αὐλείοισι	au)lei/oisi	αὔλειος	au)/leios	n-p---nd-
αὐλητρίδα	au)lhtri/da	αὐλητρίς	au)lhtri/s	n-s---fa-
αὐλητής	au)lhth/s	αὐλητής	au)lhth/s	n-s---mn-
αὐλοῦ	au)lou=	αὐλέω	au)le/w	v2siie---
αὐλοῦ	au)lou=	αὐλέω	au)le/w	v2spme---
αὐλοῦ	au)lou=	αὐλέω	au)le/w	v2siie---
αὐλοῦ	au)lou=	αὐλός	au)lo/s	n-s---mg-
αὐλήν	au)lh/n	αὐλή	au)lh/	n-s---fa-
αὐλῆς	au)lh=s	αὐλέω	au)le/w	v2spia---
αὐλῆς	au)lh=s	αὐλή	au)lh/	n-s---fg-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτούς	au)tou/s	αὐτός	au)to/s	n-p---ma-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---nd-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---md-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---nd-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nn-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nv-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---na-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fn-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fv-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fa-
αὐτά	au)ta/	αὐτός	au)to/s	n-s---fn-
αὐτά	au)ta/	αὐτός	au)to/s	n-s---fv-
αὐτήν	au)th/n	αὐτός	au)to/s	n-s---fa-
αὐτίκα	au)ti/ka	αὐτίκα	au)ti/ka	d--------
αὐτό	au)to/	αὐτός	au)to/s	n-s---nn-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nv-
αὐτό	au)to/	αὐτός	au)to/s	n-s---na-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	a-s---ma-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	a-s---nn-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	a-s---nv-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	a-s---na-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	n-s---ma-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	n-s---fa-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	n-s---nn-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	n-s---nv-
αὐτόματον	au)to/maton	αὐτόματος	au)to/matos	n-s---na-
αὐτόν	au)to/n	αὐτός	au)to/s	n-s---ma-
αὐτός	au)to/s	αὐτός	au)to/s	n-s---mn-
αὐτόχθονες	au)to/xqones	αὐτόχθων	au)to/xqwn	n-p---mn-
αὐτόχθονες	au)to/xqones	αὐτόχθων	au)to/xqwn	n-p---mv-
αὐτόχθονες	au)to/xqones	αὐτόχθων	au)to/xqwn	n-p---fn-
αὐτόχθονες	au)to/xqones	αὐτόχθων	au)to/xqwn	n-p---fv-
αὐτῆς	au)th=s	αὐτός	au)to/s	n-s---fg-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---ng-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---fg-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---mg-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---nd-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---md-
αὑλητρίς	au(lhtri/s	αὐλητρίς	au)lhtri/s	n-s---fn-
αὑτηί	au(thi/	οὗτος	ou(=tos	n-s---fn-
αὑτοῦ	au(tou=	ἑαυτοῦ	e(autou=	n-s---ng-
αὑτοῦ	au(tou=	ἑαυτοῦ	e(autou=	n-s---mg-
αὑτόν	au(to/n	ἑαυτοῦ	e(autou=	n-s---ma-
αὑτῶν	au(tw=n	ἑαυτοῦ	e(autou=	n-p---ng-
αὑτῶν	au(tw=n	ἑαυτοῦ	e(autou=	n-p---fg-
αὑτῶν	au(tw=n	ἑαυτοῦ	e(autou=	n-p---mg-
αὑτῷ	au(tw=|	ἑαυτοῦ	e(autou=	n-s---nd-
αὑτῷ	au(tw=|	ἑαυτοῦ	e(autou=	n-s---md-
αὔριον	au)/rion	αὔριον	au)/rion	d--------
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fn-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fv-
αὖ	au)=	αὗ	au(=	x--------
αὖ	au)=	αὖ	au)=	d--------
αὖθις	au)=qis	αὖθις	au)=qis	d--------
αὖτε	au)=te	αὖτε	au)=te	d--------
αὗ	au(=	αὗ	au(=	x--------
αὗ	au(=	αὖ	au)=	d--------
βαδίζειν	badi/zein	βαδίζω	badi/zw	v--pna---
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-pppann-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-pppanv-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-pppana-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-sppama-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-sppamd-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-sppand-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v3ppia---
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-dppamn-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-dppamv-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-dppama-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-dppann-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-dppanv-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v-dppana-
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v3ppie---
βαδίζονθ’	badi/zonq'	βαδίζω	badi/zw	v3piie---
βαδίζων	badi/zwn	βαδίζω	badi/zw	v-sppamn-
βαθυτάτην	baquta/thn	βαθύς	baqu/s	a-s---fa-
βαθύς	baqu/s	βαθύς	baqu/s	a-s---mn-
βακτηρίας	bakthri/as	βακτηρία	bakthri/a	n-p---fa-
βακτηρίας	bakthri/as	βακτηρία	bakthri/a	n-s---fg-
βακτηρίᾳ	bakthri/a|	βακτηρία	bakthri/a	n-p---fn-
βακτηρίᾳ	bakthri/a|	βακτηρία	bakthri/a	n-p---fv-
βακτηρίᾳ	bakthri/a|	βακτηρία	bakthri/a	n-s---fd-
βαλβίδων	balbi/dwn	βαλβίς	balbi/s	n-p---fg-
βαλεῖν	balei=n	βάλλω	ba/llw	v--ana---
βαλεῖν	balei=n	βάλλω	ba/llw	v--fna---
βαλλήσεις	ballh/seis	βάλλω	ba/llw	v2sfia---
βαλλήσομεν	ballh/somen	βάλλω	ba/llw	v1pfia---
βαλόντες	balo/ntes	βάλλω	ba/llw	v-papamn-
βαλόντες	balo/ntes	βάλλω	ba/llw	v-papamv-
βαρβάροις	barba/rois	βάρβαρος	ba/rbaros	n-p---md-
βαρβάροις	barba/rois	βάρβαρος	ba/rbaros	n-p---fd-
βαρβάροις	barba/rois	βάρβαρος	ba/rbaros	n-p---nd-
βαρβάροισι	barba/roisi	βάρβαρος	ba/rbaros	n-p---md-
βαρβάροισι	barba/roisi	βάρβαρος	ba/rbaros	n-p---fd-
βαρβάροισι	barba/roisi	βάρβαρος	ba/rbaros	n-p---nd-
βαρβάρων	barba/rwn	βάρβαρος	ba/rbaros	n-p---mg-
βαρβάρων	barba/rwn	βάρβαρος	ba/rbaros	n-p---fg-
βαρβάρων	barba/rwn	βάρβαρος	ba/rbaros	n-p---ng-
βαρβάρων	barba/rwn	βαρβαρόομαι	barbaro/omai	v3piia---
βαρβάρων	barba/rwn	βαρβαρόομαι	barbaro/omai	v1siia---
βαρβάρων	barba/rwn	βαρβαρόω	barbaro/w	v3piia---
βαρβάρων	barba/rwn	βαρβαρόω	barbaro/w	v1siia---
βαρέως	bare/ws	βαρύς	baru/s	x--------
βασιλείας	basilei/as	βασίλεια	basi/leia	n-p---fa-
βασιλείας	basilei/as	βασίλεια	basi/leia	n-s---fg-
βασιλείας	basilei/as	βασίλειος	basi/leios	a-p---fa-
βασιλείας	basilei/as	βασίλειος	basi/leios	a-s---fg-
βασιλείας	basilei/as	βασιλεία	basilei/a	n-p---fa-
βασιλείας	basilei/as	βασιλεία	basilei/a	n-s---fg-
βασιλείας	basilei/as	βασιλειάω	basileia/w	v2siia---
βασιλείας	basilei/as	βασιλειάω	basileia/w	v2siia---
βασιλεῦ	basileu=	βασιλεύς	basileu/s	n-s---mv-
βασάνιζε	basa/nize	βασανίζω	basani/zw	v2spma---
βασάνιζε	basa/nize	βασανίζω	basani/zw	v3siia---
βατίσιν	bati/sin	βατίς	bati/s	n-p---fd-
βδελυχθείς	bdeluxqei/s	βδελύσσομαι	bdelu/ssomai	v-sapemn-
βδελυχθείς	bdeluxqei/s	βδελύσσομαι	bdelu/ssomai	v-sapemv-
βεβρωκότες	bebrwko/tes	βιβρώσκω	bibrw/skw	v-prpamn-
βεβρωκότες	bebrwko/tes	βιβρώσκω	bibrw/skw	v-prpamv-
βελτίω	belti/w	βελτίων	belti/wn	a-p---na-
βελτίω	belti/w	βελτίων	belti/wn	a-p---nn-
βελτίω	belti/w	βελτίων	belti/wn	a-s---ma-
βελτίω	belti/w	βελτίων	belti/wn	a-s---fa-
βελτίω	belti/w	βελτιόω	beltio/w	v2spma---
βελτίω	belti/w	βελτιόω	beltio/w	v3siia---
βελέων	bele/wn	βέλος	be/los	n-p---ng-
βεμβικίζωσιν	bembiki/zwsin	βεμβικίζω	bembiki/zw	v3ppsa---
βιοτῆς	bioth=s	βιοτή	bioth/	n-s---fg-
βλεπόντων	blepo/ntwn	βλέπω	ble/pw	v-pppamg-
βλεπόντων	blepo/ntwn	βλέπω	ble/pw	v-pppang-
βλεπόντων	blepo/ntwn	βλέπω	ble/pw	v3ppma---
βληχᾶται	blhxa=tai	βληχάομαι	blhxa/omai	v3spse---
βληχᾶται	blhxa=tai	βληχάομαι	blhxa/omai	v3spie---
βληχᾶται	blhxa=tai	βληχάζω	blhxa/zw	v3sfim---
βλάβης	bla/bhs	βλάβη	bla/bh	n-s---fg-
βλάβης	bla/bhs	βλάπτω	bla/ptw	v2saip---
βλέπει	ble/pei	βλέπος	ble/pos	n-d---nn-
βλέπει	ble/pei	βλέπος	ble/pos	n-d---nv-
βλέπει	ble/pei	βλέπος	ble/pos	n-d---na-
βλέπει	ble/pei	βλέπος	ble/pos	n-s---nd-
βλέπει	ble/pei	βλέπος	ble/pos	n-s---nd-
βλέπει	ble/pei	βλέπω	ble/pw	v2spie---
βλέπει	ble/pei	βλέπω	ble/pw	v3spia---
βλέπειν	ble/pein	βλέπω	ble/pw	v--pna---
βλέπω	ble/pw	βλέπω	ble/pw	v1spsa---
βλέπω	ble/pw	βλέπω	ble/pw	v1spia---
βλέφαρα	ble/fara	βλέφαρον	ble/faron	n-p---nn-
βλέφαρα	ble/fara	βλέφαρον	ble/faron	n-p---nv-
βλέφαρα	ble/fara	βλέφαρον	ble/faron	n-p---na-
βλέψαι	ble/yai	βλέπω	ble/pw	v2samm---
βλέψαι	ble/yai	βλέπω	ble/pw	v--ana---
βλέψαι	ble/yai	βλέπω	ble/pw	v3saoa---
βομβυλιός	bombulio/s	βομβυλιός	bombulio/s	n-s---mn-
βορέας	bore/as	Βορέας	*bore/as	n-p---ma-
βορέας	bore/as	Βορέας	*bore/as	n-s---mn-
βουβωνιῴη	boubwniw/|h	βουβωνιάω	boubwnia/w	v3spoa---
βουκολεῖς	boukolei=s	βουκολέω	boukole/w	v2spia---
βουλή	boulh/	βουλή	boulh/	n-s---fn-
βουλή	boulh/	βουλή	boulh/	n-s---fv-
βουλόμενος	boulo/menos	βούλομαι	bou/lomai	v-sppemn-
βοήθει	boh/qei	βοηθέω	bohqe/w	v2spma---
βοήθει	boh/qei	βοηθέω	bohqe/w	v3siia---
βούλει	bou/lei	βούλομαι	bou/lomai	v2spie---
βούλεσθ’	bou/lesq'	βούλομαι	bou/lomai	v2ppme---
βούλεσθ’	bou/lesq'	βούλομαι	bou/lomai	v2ppie---
βούλεσθ’	bou/lesq'	βούλομαι	bou/lomai	v--pne---
βούλεσθ’	bou/lesq'	βούλομαι	bou/lomai	v2piie---
βούλεται	bou/letai	βούλομαι	bou/lomai	v3spie---
βούλομαι	bou/lomai	βούλομαι	bou/lomai	v1spie---
βούλομαί	bou/lomai/	βούλομαι	bou/lomai	v1spie---
βούλονται	bou/lontai	βούλομαι	bou/lomai	v3ppie---
βούπαις	bou/pais	βούπαις	bou/pais	n-s---mn-
βοώμενος	bow/menos	βάζω	ba/zw	v-sfpmmn-
βοώμενος	bow/menos	βοάω	boa/w	v-sppemn-
βοώμενος	bow/menos	βοόω	boo/w	v-sppemn-
βοᾶτε	boa=te	βοάω	boa/w	v2ppma---
βοᾶτε	boa=te	βοάω	boa/w	v2ppsa---
βοᾶτε	boa=te	βοάω	boa/w	v2ppia---
βοᾶτε	boa=te	βοάω	boa/w	v2piia---
βοᾷ	boa=|	βοάω	boa/w	v2spse---
βοᾷ	boa=|	βοάω	boa/w	v2spie---
βοᾷ	boa=|	βοάω	boa/w	v3spsa---
βοᾷ	boa=|	βοάω	boa/w	v3spia---
βοᾷ	boa=|	βοείη	boei/h	n-s---fd-
βοᾷ	boa=|	βοή	boh/	n-s---fd-
βοᾷς	boa=|s	βοάω	boa/w	v2spsa---
βοᾷς	boa=|s	βοάω	boa/w	v2spia---
βοῆς	boh=s	βόειος	bo/eios	a-s---fg-
βοῆς	boh=s	βοάω	boa/w	v2spia---
βοῆς	boh=s	βοάω	boa/w	v2spia---
βοῆς	boh=s	βοείη	boei/h	n-s---fg-
βοῆς	boh=s	βοεύς	boeu/s	n-p---mn-
βοῆς	boh=s	βοεύς	boeu/s	n-p---mn-
βοῆς	boh=s	βοεύς	boeu/s	n-p---mv-
βοῆς	boh=s	βοή	boh/	n-s---fg-
βραδύνεις	bradu/neis	βραδύνω	bradu/nw	v2spia---
βραδύνεις	bradu/neis	βραδύνω	bradu/nw	v2sasa---
βροντήσας	bronth/sas	βροντάω	bronta/w	v-sapamn-
βροντήσας	bronth/sas	βροντάω	bronta/w	v-sapamv-
βροντᾷ	bronta=|	βροντάω	bronta/w	v2spse---
βροντᾷ	bronta=|	βροντάω	bronta/w	v2spie---
βροντᾷ	bronta=|	βροντάω	bronta/w	v3spsa---
βροντᾷ	bronta=|	βροντάω	bronta/w	v3spia---
βροντᾷ	bronta=|	βροντάζω	bronta/zw	v2sfim---
βροντᾷ	bronta=|	βροντάζω	bronta/zw	v3sfia---
βροντᾷ	bronta=|	βροντή	bronth/	n-s---fd-
βρωμησάμενος	brwmhsa/menos	βρωμάομαι	brwma/omai	v-sapemn-
βρωμησάμενος	brwmhsa/menos	βρωμέω	brwme/w	v-sapmmn-
βωλίον	bwli/on	βωλίον	bwli/on	n-s---nn-
βωλίον	bwli/on	βωλίον	bwli/on	n-s---nv-
βωλίον	bwli/on	βωλίον	bwli/on	n-s---na-
βάδιζε	ba/dize	βαδίζω	badi/zw	v2spma---
βάδιζε	ba/dize	βαδίζω	badi/zw	v3siia---
βάδιζ’	ba/diz'	βαδίζω	badi/zw	v2spma---
βάδιζ’	ba/diz'	βαδίζω	badi/zw	v3siia---
βάδισιν	ba/disin	βάδισις	ba/disis	n-s---fa-
βάλανον	ba/lanon	βάλανος	ba/lanos	n-s---fa-
βάλλε	ba/lle	βάλλω	ba/llw	v2spma---
βάλλε	ba/lle	βάλλω	ba/llw	v3siia---
βάλλουσιν	ba/llousin	βάλλω	ba/llw	v-pppamd-
βάλλουσιν	ba/llousin	βάλλω	ba/llw	v-pppand-
βάλλουσιν	ba/llousin	βάλλω	ba/llw	v3ppia---
βάλλ’	ba/ll'	βάλλις	ba/llis	n-s---fv-
βάλλ’	ba/ll'	βάλλω	ba/llw	v2spma---
βάλλ’	ba/ll'	βάλλω	ba/llw	v3siia---
βάρβαρος	ba/rbaros	βάρβαρος	ba/rbaros	n-s---mn-
βάρβαρος	ba/rbaros	βάρβαρος	ba/rbaros	n-s---fn-
βέλτιστε	be/ltiste	βέλτιστος	be/ltistos	a-s---mv-
βέμβικες	be/mbikes	βέμβιξ	be/mbic	n-p---fn-
βέμβικες	be/mbikes	βέμβιξ	be/mbic	n-p---fv-
βίαν	bi/an	βία	bi/a	n-s---fa-
βίαν	bi/an	βιάω	bia/w	v3piia---
βίαν	bi/an	βιάω	bia/w	v1siia---
βίαν	bi/an	βιάω	bia/w	v3piia---
βίαν	bi/an	βιάω	bia/w	v1siia---
βίον	bi/on	βίος	bi/os	n-s---ma-
βίον	bi/on	βιόω	bio/w	v3paia---
βίου	bi/ou	βίος	bi/os	n-s---mg-
βίου	bi/ou	βιόω	bio/w	v2spma---
βίου	bi/ou	βιόω	bio/w	v2siie---
βίου	bi/ou	βιόω	bio/w	v3siia---
βόρβορος	bo/rboros	βόρβορος	bo/rboros	n-s---mn-
βόρειον	bo/reion	βόρειος	bo/reios	a-s---ma-
βόρειον	bo/reion	βόρειος	bo/reios	a-s---nn-
βόρειον	bo/reion	βόρειος	bo/reios	a-s---nv-
βόρειον	bo/reion	βόρειος	bo/reios	a-s---na-
βόρειον	bo/reion	βόρειος	bo/reios	n-s---ma-
βόρειον	bo/reion	βόρειος	bo/reios	n-s---fa-
βόρειον	bo/reion	βόρειος	bo/reios	n-s---nn-
βόρειον	bo/reion	βόρειος	bo/reios	n-s---nv-
βόρειον	bo/reion	βόρειος	bo/reios	n-s---na-
βόσκειν	bo/skein	βόσκω	bo/skw	v--pna---
βότρυς	bo/trus	βότρυς	bo/trus	n-p---fa-
βότρυς	bo/trus	βότρυς	bo/trus	n-s---fn-
βύρσης	bu/rshs	βύρσα	bu/rsa	n-s---fg-
γαλᾶς	gala=s	γαλέη	gale/h	n-p---fa-
γαλᾶς	gala=s	γαλέη	gale/h	n-s---fg-
γαλῆ	galh=	γαλέη	gale/h	n-s---fn-
γαλῆ	galh=	γαλέη	gale/h	n-s---fv-
γαλῆν	galh=n	γαλέη	gale/h	n-s---fa-
γαστέρας	gaste/ras	γαστήρ	gasth/r	n-p---fa-
γε	ge	γε	ge	g--------
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpema-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpenn-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpenv-
γεγραμμένον	gegramme/non	γράφω	gra/fw	v-srpena-
γελάσω	gela/sw	γελάω	gela/w	v1sasa---
γελάσω	gela/sw	γελάω	gela/w	v1sfia---
γελάσω	gela/sw	γελάω	gela/w	v2saim---
γενναίως	gennai/ws	γενναῖος	gennai=os	x--------
γενναίως	gennai/ws	γενναῖος	gennai=os	a-p---ma-
γενναίως	gennai/ws	γενναῖος	gennai=os	x--------
γενναίως	gennai/ws	γενναῖος	gennai=os	n-p---ma-
