Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
Φοίνισσα	*foi/nissa	φοῖνιξ	foi=nic	n-s---fv-
Φοίνισσα	*foi/nissa	φοινίζω	foini/zw	v1saia---
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
Φρυγῶν	*frugw=n	Φρύξ	*fru/c	n-p---mg-
Φρυγῶν	*frugw=n	Φρύξ	*fru/c	n-p---fg-
Φρυξί	*fruci/	Φρύξ	*fru/c	n-p---md-
Φρυξί	*fruci/	Φρύξ	*fru/c	n-p---fd-
Φρύγες	*fru/ges	Φρύξ	*fru/c	n-p---mn-
Φρύγες	*fru/ges	Φρύξ	*fru/c	n-p---mv-
Φρύγες	*fru/ges	Φρύξ	*fru/c	n-p---fn-
Φρύγες	*fru/ges	Φρύξ	*fru/c	n-p---fv-
Φρύγες	*fru/ges	φρύγω	fru/gw	v2spia---
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	a-s---ma-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	a-s---nn-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	a-s---nv-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	a-s---na-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	n-s---ma-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	n-s---fa-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	n-s---nn-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	n-s---nv-
Φρύγιον	*fru/gion	Φρύγιος	*fru/gios	n-s---na-
Φρύγιον	*fru/gion	φρύγιον	fru/gion	n-s---nn-
Φρύγιον	*fru/gion	φρύγιον	fru/gion	n-s---nv-
Φρύγιον	*fru/gion	φρύγιον	fru/gion	n-s---na-
Φρύγιον	*fru/gion	φρύγιος	fru/gios	a-s---ma-
Φρύγιον	*fru/gion	φρύγιος	fru/gios	a-s---nn-
Φρύγιον	*fru/gion	φρύγιος	fru/gios	a-s---nv-
Φρύγιον	*fru/gion	φρύγιος	fru/gios	a-s---na-
Φάρον	*fa/ron	Φάρος	*fa/ros	n-s---fa-
Φάρον	*fa/ron	φάρος	fa/ros	n-s---ma-
Χαλκίοικον	*xalki/oikon	Χαλκίοικον	*xalki/oikon	n-s---nn-
Χαλκίοικον	*xalki/oikon	Χαλκίοικον	*xalki/oikon	n-s---nv-
Χαλκίοικον	*xalki/oikon	Χαλκίοικον	*xalki/oikon	n-s---na-
Χαλκίοικον	*xalki/oikon	Χαλκίοικος	*xalki/oikos	n-s---ma-
Χαλκίοικον	*xalki/oikon	χαλκίοικος	xalki/oikos	n-s---ma-
Χαλκίοικον	*xalki/oikon	χαλκίοικος	xalki/oikos	n-s---fa-
Χαλκίοικον	*xalki/oikon	χαλκίοικος	xalki/oikos	n-s---nn-
Χαλκίοικον	*xalki/oikon	χαλκίοικος	xalki/oikos	n-s---nv-
Χαλκίοικον	*xalki/oikon	χαλκίοικος	xalki/oikos	n-s---na-
Χθονός	*xqono/s	Χθών	*xqw/n	n-s---fg-
Χθονός	*xqono/s	χθών	xqw/n	n-s---fg-
Χάριτες	*xa/rites	Χάρις	*xa/ris	n-p---fn-
Χάριτες	*xa/rites	Χάρις	*xa/ris	n-p---fv-
Χάριτες	*xa/rites	χάρις	xa/ris	n-p---fn-
Χάριτες	*xa/rites	χάρις	xa/ris	n-p---fv-
Ψαμάθην	*yama/qhn	Ψαμάθη	*yama/qh	n-s---fa-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	x--------
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	n-p---fn-
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	n-p---fv-
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	n-s---fg-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	n-p---fn-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	n-p---fv-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	n-s---fg-
αἰετοῦ	ai)etou=	ἀετός	a)eto/s	n-s---mg-
αἰεί	ai)ei/	ἀεί	a)ei/	d--------
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-d---fn-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-d---fv-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-d---fa-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-s---fn-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-s---fv-
αἰθέρος	ai)qe/ros	αἰθήρ	ai)qh/r	n-s---mg-
αἰθέρ’	ai)qe/r'	αἰθήρ	ai)qh/r	n-s---ma-
αἰθέρ’	ai)qe/r'	αἰθήρ	ai)qh/r	n-s---md-
αἰθέρ’	ai)qe/r'	αἰθήρ	ai)qh/r	n-d---mn-
αἰθέρ’	ai)qe/r'	αἰθήρ	ai)qh/r	n-d---mv-
αἰθέρ’	ai)qe/r'	αἰθήρ	ai)qh/r	n-d---ma-
αἰθήρ	ai)qh/r	αἰθήρ	ai)qh/r	n-s---mn-
αἰλίνοις	ai)li/nois	αἴλινον	ai)/linon	n-p---nd-
αἰλίνοις	ai)li/nois	αἴλινος	ai)/linos	a-p---md-
αἰλίνοις	ai)li/nois	αἴλινος	ai)/linos	a-p---nd-
αἰνόγαμος	ai)no/gamos	αἰνόγαμος	ai)no/gamos	n-s---mn-
αἰνόγαμος	ai)no/gamos	αἰνόγαμος	ai)no/gamos	n-s---fn-
αἰνῶ	ai)nw=	αἰνέω	ai)ne/w	v1spsa---
αἰνῶ	ai)nw=	αἰνέω	ai)ne/w	v1spia---
αἰνῶ	ai)nw=	αἰνός	ai)no/s	a-s---mg-
αἰνῶ	ai)nw=	αἰνός	ai)no/s	a-s---ng-
αἰσθέσθαι	ai)sqe/sqai	αἰσθάνομαι	ai)sqa/nomai	v--anm---
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	a-p---md-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	a-p---nd-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	n-p---md-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	n-p---fd-
αἰσχροῖς	ai)sxroi=s	αἰσχρός	ai)sxro/s	n-p---nd-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---na-
αἰσχύναν	ai)sxu/nan	αἰσχύνη	ai)sxu/nh	n-s---fa-
αἰσχύνας	ai)sxu/nas	αἰσχύνη	ai)sxu/nh	n-p---fa-
αἰσχύνας	ai)sxu/nas	αἰσχύνη	ai)sxu/nh	n-s---fg-
αἰσχύνας	ai)sxu/nas	αἰσχύνω	ai)sxu/nw	v-sapamn-
αἰσχύνας	ai)sxu/nas	αἰσχύνω	ai)sxu/nw	v-sapamv-
αἰσχύνην	ai)sxu/nhn	αἰσχύνη	ai)sxu/nh	n-s---fa-
αἰσχύνην	ai)sxu/nhn	αἰσχύνω	ai)sxu/nw	v--pna---
αἰσχύνοιμεν	ai)sxu/noimen	αἰσχύνω	ai)sxu/nw	v1ppoa---
αἰτεῖν	ai)tei=n	αἰτέω	ai)te/w	v--pna---
αἰτούμεθ’	ai)tou/meq'	αἰτέω	ai)te/w	v1ppie---
αἰτούμεθ’	ai)tou/meq'	αἰτέω	ai)te/w	v1piie---
αἰτήσομαι	ai)th/somai	αἰτέω	ai)te/w	v1sasm---
αἰτήσομαι	ai)th/somai	αἰτέω	ai)te/w	v1sfim---
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fv-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fa-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fa-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fv-
αἰτίαν	ai)ti/an	αἴτιος	ai)/tios	a-s---fa-
αἰτίαν	ai)ti/an	αἰτία	ai)ti/a	n-s---fa-
αἰάγμασι	ai)a/gmasi	αἴαγμα	ai)/agma	n-p---nd-
αἰών	ai)w/n	αἰών	ai)w/n	n-s---mn-
αἰών	ai)w/n	αἰών	ai)w/n	n-s---mv-
αἰώρημα	ai)w/rhma	αἰώρημα	ai)w/rhma	n-s---nn-
αἰώρημα	ai)w/rhma	αἰώρημα	ai)w/rhma	n-s---nv-
αἰώρημα	ai)w/rhma	αἰώρημα	ai)w/rhma	n-s---na-
αἱ	ai(	ὁ	o(	l-p---fn-
αἱ	ai(	ὁ	o(	l-p---fv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-p---nn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-p---nv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-p---na-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-d---fn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-d---fv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-d---fa-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-s---fn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-s---fv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	n-p---nn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	n-p---nv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	n-p---na-
αἱρεθείς	ai(reqei/s	αἱρέω	ai(re/w	v-sappmn-
αἱρεθείς	ai(reqei/s	αἱρέω	ai(re/w	v-sappmv-
αἱρεθεῖσαν	ai(reqei=san	αἱρέω	ai(re/w	v-sappfa-
αἱρήσομαι	ai(rh/somai	αἱρέω	ai(re/w	v1sasm---
αἱρήσομαι	ai(rh/somai	αἱρέω	ai(re/w	v1sfim---
αἴνιγμ’	ai)/nigm'	αἴνιγμα	ai)/nigma	n-s---nn-
αἴνιγμ’	ai)/nigm'	αἴνιγμα	ai)/nigma	n-s---nv-
αἴνιγμ’	ai)/nigm'	αἴνιγμα	ai)/nigma	n-s---na-
αἴρεις	ai)/reis	αἴρω	ai)/rw	v2spia---
αἴσχιον	ai)/sxion	αἰσχρός	ai)sxro/s	a-s---mv-
αἴσχιον	ai)/sxion	αἰσχρός	ai)sxro/s	a-s---fv-
αἴσχιον	ai)/sxion	αἰσχρός	ai)sxro/s	a-s---nn-
αἴσχιον	ai)/sxion	αἰσχρός	ai)sxro/s	a-s---nv-
αἴσχιον	ai)/sxion	αἰσχρός	ai)sxro/s	a-s---na-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---na-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---fa-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---na-
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v3piia---
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v1siia---
αἴτιος	ai)/tios	αἴτιος	ai)/tios	a-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---fn-
αἵδε	ai(/de	ὅδε	o(/de	n-p---fn-
αἵματος	ai(/matos	αἷμα	ai(=ma	n-s---ng-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nn-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nv-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---na-
αἷσιν	ai(=sin	ὅς	o(/s	p-p---fd-
αὐγαῖσιν	au)gai=sin	αὐγή	au)gh/	n-p---fd-
αὐγάζων	au)ga/zwn	αὐγάζω	au)ga/zw	v-sppamn-
αὐγάς	au)ga/s	αὐγή	au)gh/	n-p---fa-
αὐδάν	au)da/n	αὐδή	au)dh/	n-s---fa-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppamv-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppann-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppanv-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppana-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppamn-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v--pna---
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v--pna---
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpamv-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpann-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpanv-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpana-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpamn-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v--fna---
αὐδᾶν	au)da=n	αὐδή	au)dh/	n-p---fg-
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2siie---
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2spme---
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2siie---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2siie---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2spme---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spsa---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spia---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spsa---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spia---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2siie---
αὐδῶ	au)dw=	αὐδάζομαι	au)da/zomai	v1sfia---
αὐλείοισιν	au)lei/oisin	αὔλειος	au)/leios	a-p---md-
αὐλείοισιν	au)lei/oisin	αὔλειος	au)/leios	a-p---nd-
αὐλείοισιν	au)lei/oisin	αὔλειος	au)/leios	n-p---md-
αὐλείοισιν	au)lei/oisin	αὔλειος	au)/leios	n-p---fd-
αὐλείοισιν	au)lei/oisin	αὔλειος	au)/leios	n-p---nd-
αὐλόν	au)lo/n	αὐλός	au)lo/s	n-s---ma-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nn-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nv-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---na-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fn-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fv-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fa-
αὐτά	au)ta/	αὐτός	au)to/s	n-s---fn-
αὐτά	au)ta/	αὐτός	au)to/s	n-s---fv-
αὐτήν	au)th/n	αὐτός	au)to/s	n-s---fa-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nn-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nv-
αὐτό	au)to/	αὐτός	au)to/s	n-s---na-
αὐτόματα	au)to/mata	αὐτόματος	au)to/matos	a-p---nn-
αὐτόματα	au)to/mata	αὐτόματος	au)to/matos	a-p---nv-
αὐτόματα	au)to/mata	αὐτόματος	au)to/matos	a-p---na-
αὐτόματα	au)to/mata	αὐτόματος	au)to/matos	n-p---nn-
αὐτόματα	au)to/mata	αὐτόματος	au)to/matos	n-p---nv-
αὐτόματα	au)to/mata	αὐτόματος	au)to/matos	n-p---na-
αὐτόν	au)to/n	αὐτός	au)to/s	n-s---ma-
αὐτός	au)to/s	αὐτός	au)to/s	n-s---mn-
αὐτῆς	au)th=s	αὐτός	au)to/s	n-s---fg-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---nd-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---md-
αὐχμηροί	au)xmhroi/	αὐχμηρός	au)xmhro/s	a-p---mn-
αὐχμηροί	au)xmhroi/	αὐχμηρός	au)xmhro/s	a-p---mv-
αὑτόν	au(to/n	ἑαυτοῦ	e(autou=	n-s---ma-
αὑτός	au(to/s	αὐτός	au)to/s	n-s---mn-
αὑτῆς	au(th=s	ἑαυτοῦ	e(autou=	n-s---fg-
αὔδα	au)/da	αὐδάω	au)da/w	v3siia---
αὔδα	au)/da	αὐδάω	au)da/w	v2spma---
αὔδα	au)/da	αὐδάω	au)da/w	v3siia---
αὔραις	au)/rais	αὔρα	au)/ra	n-p---fd-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fn-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fv-
αὖ	au)=	αὗ	au(=	x--------
αὖ	au)=	αὖ	au)=	d--------
αὖθις	au)=qis	αὖθις	au)=qis	d--------
αὖθίς	au)=qi/s	αὖθις	au)=qis	d--------
βακχεύουσά	bakxeu/ousa/	Βακχεύω	*bakxeu/w	v-sppafn-
βακχεύουσά	bakxeu/ousa/	Βακχεύω	*bakxeu/w	v-sppafv-
βαλεῖν	balei=n	βάλλω	ba/llw	v--ana---
βαλεῖν	balei=n	βάλλω	ba/llw	v--fna---
βαρβάροις	barba/rois	βάρβαρος	ba/rbaros	n-p---md-
βαρβάροις	barba/rois	βάρβαρος	ba/rbaros	n-p---fd-
βαρβάροις	barba/rois	βάρβαρος	ba/rbaros	n-p---nd-
βαρβάροισι	barba/roisi	βάρβαρος	ba/rbaros	n-p---md-
βαρβάροισι	barba/roisi	βάρβαρος	ba/rbaros	n-p---fd-
βαρβάροισι	barba/roisi	βάρβαρος	ba/rbaros	n-p---nd-
βαρβάρου	barba/rou	βάρβαρος	ba/rbaros	n-s---mg-
βαρβάρου	barba/rou	βάρβαρος	ba/rbaros	n-s---fg-
βαρβάρου	barba/rou	βάρβαρος	ba/rbaros	n-s---ng-
βαρβάρου	barba/rou	βαρβαρόομαι	barbaro/omai	v2spma---
βαρβάρου	barba/rou	βαρβαρόομαι	barbaro/omai	v3siia---
βαρβάρου	barba/rou	βαρβαρόω	barbaro/w	v2spma---
βαρβάρου	barba/rou	βαρβαρόω	barbaro/w	v3siia---
βαρβάρους	barba/rous	βάρβαρος	ba/rbaros	n-p---ma-
βαρβάρους	barba/rous	βάρβαρος	ba/rbaros	n-p---fa-
βαρβάρους	barba/rous	βαρβαρόομαι	barbaro/omai	v2siia---
βαρβάρους	barba/rous	βαρβαρόω	barbaro/w	v2siia---
βαρβάρων	barba/rwn	βάρβαρος	ba/rbaros	n-p---mg-
βαρβάρων	barba/rwn	βάρβαρος	ba/rbaros	n-p---fg-
βαρβάρων	barba/rwn	βάρβαρος	ba/rbaros	n-p---ng-
βαρβάρων	barba/rwn	βαρβαρόομαι	barbaro/omai	v3piia---
βαρβάρων	barba/rwn	βαρβαρόομαι	barbaro/omai	v1siia---
βαρβάρων	barba/rwn	βαρβαρόω	barbaro/w	v3piia---
βαρβάρων	barba/rwn	βαρβαρόω	barbaro/w	v1siia---
βαρβάρῳ	barba/rw|	βάρβαρος	ba/rbaros	n-s---md-
βαρβάρῳ	barba/rw|	βάρβαρος	ba/rbaros	n-s---fd-
βαρβάρῳ	barba/rw|	βάρβαρος	ba/rbaros	n-s---nd-
βαρύ	baru/	βαρύς	baru/s	a-s---mv-
βαρύ	baru/	βαρύς	baru/s	a-s---nn-
βαρύ	baru/	βαρύς	baru/s	a-s---nv-
βαρύ	baru/	βαρύς	baru/s	a-s---na-
βαρύβρομον	baru/bromon	βαρύβρομος	baru/bromos	n-s---ma-
βαρύβρομον	baru/bromon	βαρύβρομος	baru/bromos	n-s---fa-
βαρύβρομον	baru/bromon	βαρύβρομος	baru/bromos	n-s---nn-
βαρύβρομον	baru/bromon	βαρύβρομος	baru/bromos	n-s---nv-
βαρύβρομον	baru/bromon	βαρύβρομος	baru/bromos	n-s---na-
βαρύβρομόν	baru/bromo/n	βαρύβρομος	baru/bromos	n-s---ma-
βαρύβρομόν	baru/bromo/n	βαρύβρομος	baru/bromos	n-s---fa-
βαρύβρομόν	baru/bromo/n	βαρύβρομος	baru/bromos	n-s---nn-
βαρύβρομόν	baru/bromo/n	βαρύβρομος	baru/bromos	n-s---nv-
βαρύβρομόν	baru/bromo/n	βαρύβρομος	baru/bromos	n-s---na-
βασιλείους	basilei/ous	βασίλειος	basi/leios	a-p---ma-
βασιλείους	basilei/ous	βασίλειος	basi/leios	n-p---ma-
βασιλείους	basilei/ous	βασίλειος	basi/leios	n-p---fa-
βασιλέα	basile/a	βασιλεύς	basileu/s	n-s---ma-
βασιλέως	basile/ws	βασιλεύς	basileu/s	n-s---mg-
βασιλέως	basile/ws	βασιλεύς	basileu/s	n-s---mg-
βασιλέως	basile/ws	βασιλεύς	basileu/s	n-s---mn-
βασίλειοι	basi/leioi	βασίλειος	basi/leios	a-p---mn-
βασίλειοι	basi/leioi	βασίλειος	basi/leios	a-p---mv-
βασίλειοι	basi/leioi	βασίλειος	basi/leios	n-p---mn-
βασίλειοι	basi/leioi	βασίλειος	basi/leios	n-p---mv-
βασίλειοι	basi/leioi	βασίλειος	basi/leios	n-p---fn-
βασίλειοι	basi/leioi	βασίλειος	basi/leios	n-p---fv-
βασίλειά	basi/leia/	βασίλεια	basi/leia	n-s---fn-
βασίλειά	basi/leia/	βασίλεια	basi/leia	n-s---fv-
βασίλειά	basi/leia/	βασίλειον	basi/leion	n-p---nn-
βασίλειά	basi/leia/	βασίλειον	basi/leion	n-p---nv-
βασίλειά	basi/leia/	βασίλειον	basi/leion	n-p---na-
βασίλειά	basi/leia/	βασίλειος	basi/leios	a-p---nn-
βασίλειά	basi/leia/	βασίλειος	basi/leios	a-p---nv-
βασίλειά	basi/leia/	βασίλειος	basi/leios	a-p---na-
βασίλειά	basi/leia/	βασίλειος	basi/leios	n-p---nn-
βασίλειά	basi/leia/	βασίλειος	basi/leios	n-p---nv-
βασίλειά	basi/leia/	βασίλειος	basi/leios	n-p---na-
βαίνεις	bai/neis	βαίνω	bai/nw	v2spia---
βεβηκυῖαν	bebhkui=an	βαίνω	bai/nw	v-srpafa-
βεβᾶσι	beba=si	βαίνω	bai/nw	v3pria---
βελτίω	belti/w	βελτίων	belti/wn	a-p---na-
βελτίω	belti/w	βελτίων	belti/wn	a-p---nn-
βελτίω	belti/w	βελτίων	belti/wn	a-s---ma-
βελτίω	belti/w	βελτίων	belti/wn	a-s---fa-
βελτίω	belti/w	βελτιόω	beltio/w	v2spma---
βελτίω	belti/w	βελτιόω	beltio/w	v3siia---
βιότου	bio/tou	βίοτος	bi/otos	n-s---mg-
βλαστήματα	blasth/mata	βλάστημα	bla/sthma	n-p---nn-
βλαστήματα	blasth/mata	βλάστημα	bla/sthma	n-p---nv-
βλαστήματα	blasth/mata	βλάστημα	bla/sthma	n-p---na-
βλέπεις	ble/peis	βλέπω	ble/pw	v2spia---
βλέποντα	ble/ponta	βλέπω	ble/pw	v-pppann-
βλέποντα	ble/ponta	βλέπω	ble/pw	v-pppanv-
βλέποντα	ble/ponta	βλέπω	ble/pw	v-pppana-
βλέποντα	ble/ponta	βλέπω	ble/pw	v-sppama-
βλέπω	ble/pw	βλέπω	ble/pw	v1spsa---
βλέπω	ble/pw	βλέπω	ble/pw	v1spia---
βλέπων	ble/pwn	βλέπω	ble/pw	v-sppamn-
βλέφαρα	ble/fara	βλέφαρον	ble/faron	n-p---nn-
βλέφαρα	ble/fara	βλέφαρον	ble/faron	n-p---nv-
βλέφαρα	ble/fara	βλέφαρον	ble/faron	n-p---na-
βλέφαρον	ble/faron	βλέφαρον	ble/faron	n-s---nn-
βλέφαρον	ble/faron	βλέφαρον	ble/faron	n-s---nv-
βλέφαρον	ble/faron	βλέφαρον	ble/faron	n-s---na-
βλέψον	ble/yon	βλέπω	ble/pw	v2sama---
βοράν	bora/n	βορά	bora/	n-s---fa-
βοράν	bora/n	βορός	boro/s	a-s---fa-
βοσκάς	boska/s	βοσκάς	boska/s	n-s---fn-
βοσκάς	boska/s	βοσκή	boskh/	n-p---fa-
βοστρύχους	bostru/xous	βόστρυχος	bo/struxos	n-p---ma-
βουλευμάτων	bouleuma/twn	βούλευμα	bou/leuma	n-p---ng-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-p---nn-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-p---nv-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-p---na-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-s---nd-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-d---nn-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-d---nv-
βουλεύματ’	bouleu/mat'	βούλευμα	bou/leuma	n-d---na-
βουλόμεσθα	boulo/mesqa	βούλομαι	bou/lomai	v1ppie---
βουλόμεσθα	boulo/mesqa	βούλομαι	bou/lomai	v1piie---
βουστάθμους	bousta/qmous	βούσταθμον	bou/staqmon	n-p---ma-
βοάν	boa/n	βοή	boh/	n-s---fa-
βούθυτον	bou/quton	βούθυτος	bou/qutos	n-s---ma-
βούθυτον	bou/quton	βούθυτος	bou/qutos	n-s---fa-
βούθυτον	bou/quton	βούθυτος	bou/qutos	n-s---nn-
βούθυτον	bou/quton	βούθυτος	bou/qutos	n-s---nv-
βούθυτον	bou/quton	βούθυτος	bou/qutos	n-s---na-
βούλεται	bou/letai	βούλομαι	bou/lomai	v3spie---
βούλεταί	bou/letai/	βούλομαι	bou/lomai	v3spie---
βούλοιντ’	bou/loint'	βούλομαι	bou/lomai	v3ppoe---
βούλομαι	bou/lomai	βούλομαι	bou/lomai	v1spie---
βούλῃ	bou/lh|	βούλομαι	bou/lomai	v2spse---
